backoff_db,sqrt2_avg_error,sqrt2_max_error,sqrt2_avg_sqnr,div2_avg_error,div2_max_error,div2_avg_sqnr,collect_avg_error,collect_max_error,collect_avg_sqnr
1.0,9601.916327,76499.279093,8.761,13472.250158,75924.356098,6.183,2809.516328,75352.404282,13.242
2.0,7773.548894,67295.146668,9.833,11572.583843,67529.192096,6.832,2031.530059,67024.740017,14.616
3.0,5581.301649,58464.285531,11.586,9243.679221,58617.644083,7.863,1254.118443,58122.92239,16.755
4.0,3407.521048,48588.427505,14.253,6819.558759,48729.559399,9.371,655.57955,48238.767247,19.973
5.0,1757.921838,39761.773207,17.791,4757.563394,39971.310957,11.272,307.570794,39429.292488,25.108
6.0,726.063786,31793.702113,22.915,3055.612607,32108.912834,13.703,126.520714,31578.125572,36.89
7.0,230.38053,24661.566818,34.797,1717.381827,25078.51511,16.86,44.403602,24580.629297,56.747
8.0,56.052196,18362.659137,57.408,771.586158,18827.126601,21.076,13.51566,18343.597343,73.667
9.0,11.390452,12785.906527,72.957,286.272364,13455.40606,28.436,3.914283,12785.905545,80.898
10.0,2.738847,7831.975436,77.854,91.711543,9450.364315,46.645,1.605928,7831.975343,82.376
11.0,1.299357,3416.681371,78.334,22.295341,6363.518262,67.353,0.874934,3416.681226,82.271
12.0,1.071855,4.217084,77.924,4.234878,3889.566267,77.382,0.727516,2.101135,81.568
13.0,1.033686,3.793535,77.235,1.193922,1684.934672,79.271,0.721827,1.961959,80.65
14.0,1.003216,3.927495,76.505,0.799246,213.499273,78.748,0.716398,1.960677,79.723
15.0,0.978593,3.752655,75.719,0.769778,2.714135,77.836,0.712031,1.890945,78.784
16.0,0.95857,3.519601,74.899,0.766485,2.812344,76.86,0.709777,1.764328,77.813
17.0,0.943975,3.380879,74.042,0.763366,2.691883,75.89,0.709423,1.942768,76.828
18.0,0.930756,3.366712,73.153,0.762971,2.763023,74.899,0.705404,1.757292,75.878
19.0,0.924046,3.176128,72.222,0.760306,2.642305,73.931,0.705647,1.815495,74.876
20.0,0.916843,3.226943,71.289,0.759439,2.640694,72.943,0.701099,1.714898,73.932
21.0,0.913264,3.353217,70.333,0.755944,3.001871,71.981,0.703018,1.681158,72.916
22.0,0.908383,3.683717,69.373,0.758081,2.729927,70.954,0.699995,1.842741,71.948
23.0,0.90514,3.142741,68.412,0.756826,2.619937,69.979,0.702484,1.647057,70.932
24.0,0.903527,3.286465,67.425,0.755463,2.786266,68.986,0.700813,1.729576,69.947
25.0,0.89914,3.598749,66.463,0.75577,2.810405,67.978,0.700623,1.69077,68.948
26.0,0.898685,3.125405,65.473,0.755259,2.913033,66.992,0.697536,1.720801,67.983
27.0,0.896365,3.210598,64.487,0.757928,2.757164,65.963,0.699944,1.636427,66.957
28.0,0.894227,3.232588,63.515,0.75608,2.776622,64.974,0.699156,1.775536,65.974
29.0,0.890575,3.311666,62.542,0.750685,2.751358,64.035,0.69828,1.639961,64.977
30.0,0.891334,3.162198,61.54,0.755535,2.589158,62.98,0.698923,1.658325,63.971
31.0,0.896241,3.41337,60.488,0.755387,2.996248,61.988,0.697918,1.705135,62.984
32.0,0.895132,3.585492,59.505,0.756066,2.723627,60.979,0.699607,1.612015,61.971
33.0,0.890922,3.20918,58.545,0.751643,2.691807,60.038,0.699491,1.731201,60.966
34.0,0.889335,3.427714,57.564,0.751964,3.079255,59.021,0.698071,1.657412,59.979
35.0,0.893275,2.941928,56.522,0.756156,2.669413,57.983,0.696784,1.660416,58.998
36.0,0.889046,3.543824,55.562,0.75567,2.75203,56.979,0.697139,1.699193,57.993
