backoff_db,avg_sqnr
1.0,15.863
2.0,17.575
3.0,20.641
4.0,26.409
5.0,41.258
6.0,73.801
7.0,89.421
8.0,89.544
9.0,88.87
10.0,88.137
11.0,87.38
12.0,86.539
13.0,85.69
14.0,84.828
15.0,83.916
16.0,82.985
17.0,82.061
18.0,81.122
19.0,80.163
20.0,79.224
21.0,78.218
22.0,77.259
23.0,76.254
24.0,75.281
25.0,74.285
26.0,73.303
27.0,72.329
28.0,71.31
29.0,70.325
30.0,69.335
31.0,68.334
32.0,67.315
33.0,66.33
34.0,65.326
35.0,64.332
36.0,63.327
37.0,62.342
38.0,61.338
39.0,60.321
40.0,59.339
41.0,58.323
42.0,57.335
43.0,56.35
44.0,55.328
45.0,54.353
46.0,53.323
47.0,52.339
48.0,51.344
49.0,50.339
50.0,49.331
51.0,48.35
52.0,47.328
53.0,46.335
54.0,45.331
55.0,44.346
56.0,43.335
57.0,42.332
58.0,41.327
59.0,40.342
60.0,39.34
61.0,38.339
62.0,37.342
63.0,36.322
64.0,35.331
65.0,34.323
66.0,33.346
67.0,32.339
68.0,31.331
69.0,30.348
70.0,29.327
