# Generated by scripts/generate_fixed_stage_stim.py
# seed 23063
# valid last a_re a_im b_re b_im
1 0 10 2 3 4
1 0 7 -3 -2 1
1 1 -8 5 2 -6
0 0 0 0 0 0
1 0 -1 -1 2 2
1 1 4 1 1 -3
1 0 -11199 15958 -828 21693
1 0 -17488 7707 -6020 29802
1 0 -2186 18320 19973 -8628
1 0 12388 6496 -30916 -12765
1 0 -16212 29565 -3314 14513
1 0 20715 -23699 -2715 11357
1 0 8507 14570 843 -24162
1 0 623 -32101 2560 -669
1 0 915 25729 3187 -1396
1 0 16218 4165 -5468 28841
1 0 -32047 -10315 -2540 30807
1 0 10544 -9743 -12364 5132
1 0 11140 -25861 -14267 -13730
1 0 20834 -9312 4813 3597
1 0 20822 26915 26888 4346
0 0 -16581 2621 -31995 -21538
1 0 -11430 -18519 -1087 -851
1 0 -9675 -3989 -25696 -24972
1 0 2167 -14158 19249 27460
1 0 18588 -23467 29956 14410
1 0 6177 8015 -28421 4271
1 0 -17863 -23992 24192 2264
1 0 -3835 -2189 -1291 -29573
1 1 -12567 24729 -9220 -26793
1 0 -16804 -21338 -8219 1129
1 0 15736 10260 23430 -10384
0 0 -24679 -23283 27496 29811
1 0 -24895 21315 2261 19339
1 0 4910 11959 -10591 6827
1 0 14722 -14591 3441 15400
1 0 22124 -3166 -12192 -30923
1 0 -9401 -1818 1086 30049
1 0 25001 -28326 25738 2865
1 0 -23441 -12988 -32731 -14627
0 0 -2442 -22370 -1034 -2874
1 0 -9846 3128 -14475 -600
1 0 30571 -3504 -19057 10760
1 0 3310 31164 19429 -23819
1 0 26159 -29449 1057 15438
1 0 19924 -3261 22664 7826
1 0 24190 22406 -624 29901
1 0 -20556 453 -22071 19070
1 1 4424 -20532 1904 29284
1 0 13488 -25920 -5293 -12150
1 0 21898 27882 14262 12545
1 0 -19290 -5490 4022 -18380
1 0 -5096 1577 9225 -24090
1 0 8444 -24405 21876 27103
1 0 20070 -10896 -11918 5477
1 0 9990 11997 -32236 28502
1 0 -2302 10587 -16736 6647
1 0 -19044 -10869 -3390 32377
1 0 8737 -23895 19972 13503
1 0 -21975 -10397 -32273 32238
1 0 -20547 -17849 -15968 -29767
0 0 23550 26362 -13271 20114
1 0 -13680 -28661 19784 28511
1 0 4458 -27034 -172 -462
1 0 -709 -11295 -6963 14749
1 0 -61 21583 25780 21931
1 0 -3949 -15444 19069 28834
1 0 -9489 -31643 -29324 -31719
1 0 5146 18542 4471 -5639
1 0 21169 3406 -23411 9386
1 0 -11531 -6732 -24237 14065
1 0 -32001 5471 -9933 28566
1 0 11531 -5227 17116 29372
1 0 -3808 10591 8094 20828
1 0 27911 -25394 6587 -14460
1 0 -16540 30256 -32710 19567
1 0 25861 26272 -6918 -13638
1 0 24157 7384 -454 3606
1 0 -26199 4786 -447 -6704
1 0 1718 -30719 -7339 9379
1 0 15734 -24152 -22774 5755
1 0 -25621 8138 -29105 -27614
1 0 8568 20446 16757 -18476
1 0 7497 8802 -15607 -31307
1 0 8969 20328 12571 32378
1 0 4320 10586 -27233 3201
1 0 -8275 12745 19917 10627
1 0 19420 -32443 -10835 14714
1 0 -29539 17373 30776 -17545
1 0 -3817 -22688 -27059 -28033
1 0 32344 22689 -14694 -9151
1 0 -5994 -472 31611 17005
1 0 14043 -24064 -16889 -5357
1 0 -1480 -12711 -5132 -9241
1 0 8430 13957 -17661 2439
1 0 -15297 -21961 23607 -20251
1 0 4189 5642 7550 -14573
1 0 -23307 -18811 -25471 -15062
1 0 -28616 24203 -8279 30883
1 0 6448 -29042 5892 26527
1 0 -4066 27025 19510 -22347
1 0 7407 13043 -28546 23363
1 0 26238 27949 -21101 -9137
1 0 -884 -17444 3718 31538
1 0 -18061 -3234 -15383 -19401
1 0 13385 26376 21121 14003
1 0 -23457 -24527 7898 6823
1 0 -6650 -22948 -17898 6376
1 0 31276 17270 10833 31740
1 0 -26502 5178 315 -25124
1 0 -22855 -26752 29386 26409
1 0 27015 21543 -10660 -17736
1 0 3157 -4098 -9733 8450
1 0 -22005 -29891 -17700 26282
1 0 25676 32333 -13212 13291
1 0 21874 29838 29993 21423
1 0 15975 -5920 -21671 -19186
1 0 -416 6352 3585 -18297
1 0 -22644 -29782 17979 16159
1 0 32394 -27283 23730 -27468
1 0 -21207 9849 30754 -4207
1 0 -17508 24948 6146 -17488
1 0 -14479 -24404 17017 19202
1 0 -25539 -11224 29057 -30345
0 0 32302 -11679 18076 -26786
1 0 29536 -22156 -21099 -30285
1 0 1647 23634 29383 10247
1 0 -13691 -7343 -5132 -29514
1 0 28588 -12635 -25376 -21974
1 0 -4400 -7263 12233 7437
1 0 -25584 -16605 15484 18591
1 0 8974 -2679 30205 -29416
1 0 2708 12553 -2296 -11358
1 0 4641 21775 -27078 -13834
1 0 15534 19014 15994 22495
1 0 13482 28768 1011 -4075
1 0 30102 11310 -26434 22942
1 0 18448 -7551 27441 28239
1 0 17710 -20028 19324 -24920
1 0 31186 -1177 22293 13259
1 0 10549 20144 -10181 -26994
1 0 18640 1722 -8309 10191
1 0 6509 -15298 8184 -9536
1 0 134 -18234 5563 -22470
1 0 26100 21515 25768 -12091
1 0 -12526 -9430 -27364 11590
1 0 30111 14265 -6524 24598
1 0 1060 -474 14274 26476
1 0 13342 -27039 6043 -31465
1 0 4490 6220 -6010 -20641
1 0 26453 12886 -16274 -6153
1 0 -5569 -19050 -16731 18044
1 0 -10642 -11504 -11997 -25294
1 0 -13129 26370 -9948 -21178
1 0 -11860 29692 21457 14104
1 0 -27504 -13002 27332 11679
1 0 27733 28101 -32147 -22439
1 0 13940 14853 -29536 30683
1 0 6622 -22805 -6114 -11315
1 0 -25182 -22895 -3203 -30593
1 0 14290 -15903 -72 -15382
1 0 20253 -30308 -18950 26702
1 0 6571 21888 -13944 -10347
1 0 17501 -20809 7945 -15535
1 0 -32092 -1429 30257 -20889
1 0 1001 10334 -16848 -5401
1 0 -28333 20615 27416 27076
1 0 -19522 23806 -28164 -15793
1 0 -26674 -1153 10650 22634
1 0 -20954 -24614 30729 -6870
1 0 17476 -24780 -26651 31455
1 0 -22732 27210 -6137 11574
1 0 20777 -5921 -15707 15172
0 0 8318 -11532 -14320 -29197
1 0 -31522 -11239 29199 25087
1 0 1196 17103 -8966 19315
1 0 -29295 16552 21149 8332
1 1 27274 -21007 18252 29891
1 0 -32274 -11300 -6838 -6838
1 0 -15812 25829 -11678 30122
1 0 -25136 -860 11958 29984
1 0 -17836 -15400 20686 29100
1 0 -14086 29583 8529 -14802
1 0 -24076 -1964 15026 -32022
1 0 25421 13878 -23576 10751
1 0 12133 28778 -17476 -739
1 0 21950 24784 -10761 -12262
1 0 -20812 -16636 15944 -12852
1 0 -18505 -21950 4017 20995
1 0 -25786 -8285 -21405 -11374
1 0 13639 -18839 -31929 14337
1 0 -10843 -15876 -22689 14976
1 0 19505 -30443 4829 2141
1 0 31398 22490 2600 22972
1 0 2764 17033 -24729 9632
1 0 6188 14857 -12875 18680
1 0 18417 -3161 13364 -4735
1 0 -32542 7661 11277 26837
1 0 28600 -2241 -11946 -12987
0 0 -30452 -28262 9030 -30940
1 0 6143 -24087 29283 -11850
1 0 -4944 2200 22515 20484
1 0 -30640 -16857 11534 -16820
1 0 16480 -5833 -25581 -24161
1 0 -1942 -12867 -83 31420
1 0 6430 2647 13313 26056
1 0 -20411 -17087 -31384 -5282
1 0 32307 -25517 -22121 -12135
1 0 16350 -6561 19429 -31182
1 0 -6255 8637 5378 -21882
1 0 -21488 -16277 10572 18292
1 0 -11444 -6809 -20804 -18250
1 0 -1350 6638 -10406 7096
1 0 -28273 14953 23 -6841
1 0 -9647 19105 11712 -5030
1 0 9064 -10408 18491 -18448
0 0 877 -14495 17773 -22230
1 0 -16419 3818 -14880 5479
1 0 -5686 -27925 19078 -5072
1 0 26534 1000 -10000 8541
1 0 -32157 30518 -9461 16608
1 0 -15548 19929 2063 -30113
0 0 -29061 -23770 16795 -22202
1 0 -16303 -32459 9785 -18553
1 0 -6381 -26752 4560 4443
1 0 12342 25330 27162 2157
1 0 7453 23277 16623 946
1 0 -2988 816 2942 17804
1 0 20536 7306 30567 27875
1 0 -11924 -24488 -28667 2357
1 0 6460 -9139 25316 664
1 0 9248 17848 -786 30302
1 0 -32365 20218 -13671 23279
1 0 -26631 17478 15473 2091
1 0 -16064 5247 1436 24403
1 0 -15778 -29748 -6475 16906
1 0 26282 243 29074 -10518
1 0 -3692 -29099 4021 -22754
1 0 5166 11616 -2573 -20247
1 0 -13129 -19700 -29814 4690
1 0 -8580 -22986 27939 6170
1 0 6108 15152 19778 4557
1 0 -5688 -28422 15160 -5971
1 0 26691 -4172 14405 19010
1 0 -12719 -9568 2436 -13954
1 0 10963 9404 -13228 -15618
1 0 22203 -6946 -17926 31223
1 0 -32121 4170 21317 -30615
1 0 -29917 -30607 24726 -11099
1 0 12130 15462 27224 -18374
1 0 31093 15444 22886 -7961
1 0 31607 -28295 -32472 -28518
1 0 30140 -21217 7215 -4483
1 0 12199 -2922 -10598 -14981
1 0 -32669 19369 27035 8965
1 0 3013 22211 -30589 18788
1 0 -4251 31856 -32013 -12834
1 0 -25077 -4411 21603 19510
1 0 -30180 -11331 -16091 -10155
1 0 -8381 14569 -7141 -24358
1 0 -1061 1590 20003 3080
1 0 -27379 8559 -4486 -20188
1 0 -2646 -15036 3018 17844
1 0 -16193 7315 -28627 -16916
1 0 -27740 1998 20563 22283
1 0 -12950 9334 -22159 -17792
1 0 -6352 -3824 13777 -23959
1 0 7394 10600 20616 29899
1 0 -32691 -11963 30933 -10231
1 0 -2364 11739 13292 -20903
1 0 6695 -123 26674 14915
1 0 -10052 -21754 -27136 -18179
1 0 -7974 -31738 -5820 -1592
1 0 -15268 -29227 -14578 -32155
0 0 -5 -21301 -32464 -9549
1 0 -19334 24740 1521 15080
1 0 -31742 -19771 -12919 26467
1 0 -12666 -19087 -11971 11341
1 0 -14408 20608 -28205 -22576
1 0 19026 -27555 555 10315
0 0 6048 -9093 5201 -23871
1 0 29722 -30544 -11732 -31140
1 0 -27739 -2217 -4823 1865
1 0 -22914 -9703 22065 27607
1 0 12401 24844 9644 2753
1 0 2525 -19931 -3817 -30730
1 0 -30169 -19098 -5644 -21571
0 0 -26488 -27541 -20144 20749
1 0 13470 -21343 -9050 -31302
0 0 -7225 -10902 25029 -29622
1 0 -31434 -5133 29526 -20018
1 0 -17614 8186 -21891 20592
1 0 20348 20801 14545 25832
1 0 -5195 17910 -16679 24330
1 0 -7332 -18507 1483 -19483
1 0 -812 -15329 24144 21411
1 0 -32261 -18607 16832 32025
1 0 21573 24477 6444 13574
0 0 28045 13019 -13229 13701
1 0 -23217 -16236 -9636 27000
1 0 195 20469 30090 12841
1 0 -28492 -28126 26147 6887
1 0 29427 16127 -22867 30845
1 0 18744 -6247 20675 23645
1 0 24968 7902 -15830 -12989
1 0 13175 9346 26564 -14103
