# Vectors from model/dpi_complex_fixed_test.c (t1..t3)

# t1: a=(re=3, im=2), b=(re=24576, im=-4096)
00020003 f0006000

# t2: a=(re=-7, im=4), b=(re=-16384, im=8192)
0004fff9 2000c000

# t3: a=(re=32767, im=-32768), b=(re=8192, im=8192)
80007fff 20002000

# Twiddle corner sweep: x_re/x_im in {32767, -32768}, w_re/w_im in {16384, -16384}
# c01: a=(re=32767,  im=32767),  b=(re=16384,  im=16384)
7fff7fff 40004000
# c02: a=(re=32767,  im=32767),  b=(re=16384,  im=-16384)
7fff7fff c0004000
# c03: a=(re=32767,  im=32767),  b=(re=-16384, im=16384)
7fff7fff 4000c000
# c04: a=(re=32767,  im=32767),  b=(re=-16384, im=-16384)
7fff7fff c000c000
# c05: a=(re=32767,  im=-32768), b=(re=16384,  im=16384)
80007fff 40004000
# c06: a=(re=32767,  im=-32768), b=(re=16384,  im=-16384)
80007fff c0004000
# c07: a=(re=32767,  im=-32768), b=(re=-16384, im=16384)
80007fff 4000c000
# c08: a=(re=32767,  im=-32768), b=(re=-16384, im=-16384)
80007fff c000c000
# c09: a=(re=-32768, im=32767),  b=(re=16384,  im=16384)
7fff8000 40004000
# c10: a=(re=-32768, im=32767),  b=(re=16384,  im=-16384)
7fff8000 c0004000
# c11: a=(re=-32768, im=32767),  b=(re=-16384, im=16384)
7fff8000 4000c000
# c12: a=(re=-32768, im=32767),  b=(re=-16384, im=-16384)
7fff8000 c000c000
# c13: a=(re=-32768, im=-32768), b=(re=16384,  im=16384)
80008000 40004000
# c14: a=(re=-32768, im=-32768), b=(re=16384,  im=-16384)
80008000 c0004000
# c15: a=(re=-32768, im=-32768), b=(re=-16384, im=16384)
80008000 4000c000
# c16: a=(re=-32768, im=-32768), b=(re=-16384, im=-16384)
80008000 c000c000
